statement,sentiment,language,rating,source
How can I provoke multiple calls to Finalize,-0.125,Ada,18,stackexchange
How does rendezvous work,0,Ada,18,stackexchange
Glade3 for Ada,0,Ada,18,stackexchange
Best practice for implementing in Ada 2005 or 2012 an equivalent of the java finalize block,0.125,Ada,18,stackexchange
Ada Slicing with Strings,0,Ada,18,stackexchange
Package not visible error,-0.5,Ada,18,stackexchange
How can I check to see if a element of an array exists in Ada,0,Ada,18,stackexchange
Eclipse  AonixADT quotArtifact not foundquot,0,Ada,18,stackexchange
When should we use Indefinite_Hashed_Maps or Hashed_Maps,0,Ada,18,stackexchange
How to finalize an Ada protected type,0.14285714285714285,Ada,18,stackexchange
Ada Generic Averaging Function,0,Ada,18,stackexchange
wxWidgets for Ada,0,Ada,18,stackexchange
Nintendo DS homebrew with Ada,0,Ada,18,stackexchange
I have an embedded project idea that i want to start I have many questions,0.06666666666666667,Ada,18,stackexchange
Python style iterators in C,0,Algol68,18,stackexchange
How to make conversion of Algol 68 Genia language to c language,0,Algol68,18,stackexchange
In Algol 68  what readability problems can come from with using reversed closure words for control structures,-0.1111111111111111,Algol68,18,stackexchange
Call by namereferencevalue,0,Algol68,18,stackexchange
Naming BEGIN  END vs LIVE  EVIL block structured languages,-0.36363636363636365,Algol68,18,stackexchange
what are some of J39s unique features,0,APL,18,stackexchange
KAPL style programming in C,0,APL,18,stackexchange
How to increase variable precision in Dyalog APL,0.125,APL,18,stackexchange
Are there any open source projects written in APL,0,APL,18,stackexchange
What is the best way to implement the APL compress operator in Perl,0.23076923076923078,APL,18,stackexchange
Does development with scalaz require an UnicodeAPLlike keyboard,0,APL,18,stackexchange
Learning JKAPL,0,APL,18,stackexchange
A and Emacs but not XEmacs,0,APL,18,stackexchange
How to link a python data structure into matplotlib Such as a dict gt bar chart,0,APL,18,stackexchange
In SQL How can I generate every possible unique combination of 556,0,APL,18,stackexchange
Grade UpDown APL order,0,APL,18,stackexchange
Would anybody recommend learning JKAPL,0.4,APL,18,stackexchange
Dyalog APL  Parsing a vector of strings and appending a string to each vector,0,APL,18,stackexchange
APL readability,0,APL,18,stackexchange
Open Source Specification of the APL Language,0,APL,18,stackexchange
Define a pervasive function in APL,0,APL,18,stackexchange
Could APL be implemented in Scala as a DSL,0,APL,18,stackexchange
What is the list of circle functions in APL,0,APL,18,stackexchange
How do I use argument twice in a function in J,0,APL,18,stackexchange
Is there any open source implementation of APL,0,APL,18,stackexchange
APL Removing elements from Array,0,APL,18,stackexchange
How to write N N N  N using operators or other things,0,APL,18,stackexchange
Operations on nested arrays in APL,0,APL,18,stackexchange
APL Average vector of 39n39 adjacent numbers in a VectorArray,0,APL,18,stackexchange
String Length with Scalars and Vectors in APL,0,APL,18,stackexchange
APL summing of a vector of numbers,0,APL,18,stackexchange
Ascending Cardinal Numbers in APL,0,APL,18,stackexchange
Cumulative Maxima as Indicated by X in APL,0,APL,18,stackexchange
Progressive Indexof Idiom in APL,0,APL,18,stackexchange
APL Identities in Progressive Index Idiom,0,APL,18,stackexchange
APL How do you remove rows and columns that contain ONLY 0s from a matrix,0,APL,18,stackexchange
APL Matrix manipulation trick,-0.25,APL,18,stackexchange
APL and Java Interface,0,APL,18,stackexchange
Explode and Implode in APL,0,APL,18,stackexchange
Is a train in J associative,0,APL,18,stackexchange
Can anybody explain how will apl be implemented in math researching or financial industry,0,APL,18,stackexchange
In APL how can I compute the lowest unused positive integer from a given set of integers,0.058823529411764705,APL,18,stackexchange
Error 39No Error39 when omitting assignment,-0.8333333333333334,APL,18,stackexchange
NARS2000 has no documentation on how to dynamically define a function,-0.09090909090909091,APL,18,stackexchange
The most idiomatic way of creating identity matrix in APL,0,APL,18,stackexchange
Is there any way to tell the difference between a number 30 and 3 in APL,0,APL,18,stackexchange
Apply function to each row of a matrix,0,APL,18,stackexchange
Can GNU APL output be sent to a command line plotting program eg gnuplot,0,APL,18,stackexchange
3 dimensional truth table in APL,0,APL,18,stackexchange
what39s the motivation for J to introduce fork,0.125,APL,18,stackexchange
examples to compare tradtional math notations vs APLJ notations,0,APL,18,stackexchange
Braces in GNU APL,0,APL,18,stackexchange
APLX Char vector to a Integer Vector,0,APL,18,stackexchange
APLX to remove single 1s from a mask,0,APL,18,stackexchange
How do I do in F what would be called compression in APL,0,APL,18,stackexchange
Haskell39s Monad vs APL39s Monad,0,APL,18,stackexchange
What does quotcomma barquot mean,0,APL,18,stackexchange
J39s  operator why not reversed,0,APL,18,stackexchange
How to assign APL expression to execute on pressing shortcut,0,APL,18,stackexchange
Evaluation of APL direct functions,0,APL,18,stackexchange
Comparing vectors in APL,0,APL,18,stackexchange
Understanding APL39s Inner Product,0,APL,18,stackexchange
How come x in APL works for both matrices and vectors,0,APL,18,stackexchange
Why does reducing with concatination give a scalar in APL,0,APL,18,stackexchange
How to understand the F function in BurksWarrenWright39s Lukasiewicz Logic Machine,0,APL,18,stackexchange
Is there an APL idiom to get a vector of all alphabetical characters,0,APL,18,stackexchange
Remove leading trailing and multiple space within a string in APL,0,APL,18,stackexchange
Combining vectors in APL creating tuples with elements from each vector,0,APL,18,stackexchange
APL find frequency of elements in a matrix,0,APL,18,stackexchange
Is there a file type for APL programs,0,APL,18,stackexchange
Performance of string operations in Dyalog,0,APL,18,stackexchange
Scanlike operations on every pair of vector39s elements,0,APL,18,stackexchange
Crossplatforming C functions to APL,0,APL,18,stackexchange
How does reducescan work in APL with user defined functions,0,APL,18,stackexchange
including license statement in the header,0,APL,18,stackexchange
Dividing character vector into segments,0,APL,18,stackexchange
MultipleIndexing nested matrices in APL,0,APL,18,stackexchange
What are curly brackets for in GnuApl,0,APL,18,stackexchange
Pollard Rho implementation in APL,0,APL,18,stackexchange
Which is the best and free APL interpreter,0.5,APL,18,stackexchange
APL programming  assigning values to vectors,0,APL,18,stackexchange
Conditional function in APL,0,APL,18,stackexchange
APL Session over HTTP,0,APL,18,stackexchange
How is each operator optimized by the APL interpreter,0,APL,18,stackexchange
Visual  RAD APL,0,APL,18,stackexchange
Enclose behaviour in GNU APL and Dyalog APL,0,APL,18,stackexchange
How do I work around CT limitations,0,APL,18,stackexchange
In APL are oneliners preferred to more traditional variableheavy code,0,APL,18,stackexchange
APL Keymapping on Linux GNU APL,0,APL,18,stackexchange
How to index a mat with 2 cols from another Mat,0,APL,18,stackexchange
I cannot SAVE in GNU apl,0.3333333333333333,APL,18,stackexchange
Operating on return values from a different function in APL,0,APL,18,stackexchange
Replacing specific elements in a table with a specific element from a range in APLX,0,APL,18,stackexchange
Core of APL J K,0,APL,18,stackexchange
Pass function as an argument in APL,0,APL,18,stackexchange
APLX Order a mixed data matrix by second column,0,APL,18,stackexchange
APL versus A versus J versus K,0,APL,18,stackexchange
APL return value of a function,0,APL,18,stackexchange
ab1000 ab This takes forever are there alternatives gnuapl,0,APL,18,stackexchange
Bitwise operations in APL,0,APL,18,stackexchange
How to count the frequency of a element in APL or J without loops,0,APL,18,stackexchange
Using APLEdit to create a function in gnuapl,0,APL,18,stackexchange
what language was cybersyncyberstride implemented in,0,APL,18,stackexchange
Generate a fibonacci series with no loops or flow control in APL,-0.08333333333333333,APL,18,stackexchange
Where can I learn APL,0,APL,18,stackexchange
Mail Message Link Handling,0,AppleScript,18,stackexchange
What is the best way to format a localized string in AppleScript,0.25,AppleScript,18,stackexchange
In Applescript how can I get to the Help menu Search field like Spotlight,0.2857142857142857,AppleScript,18,stackexchange
Using AppleScript to hide Keynote Text Fields in A Slide,-0.1,AppleScript,18,stackexchange
Can39t do shell script with a repeat with i from 1 to n loop,0,AppleScript,18,stackexchange
Create Applescript in windows,0,AppleScript,18,stackexchange
Use AppleScript or other Mac OS method to get filename and path of open files,0,AppleScript,18,stackexchange
How to send K to shell,0,AppleScript,18,stackexchange
Mounting a folder as a device in Finder using Cocoa,0,AppleScript,18,stackexchange
Suggestions other than an AppleScript OSAX to create a resource bound file,0,AppleScript,18,stackexchange
Disk Activity in Applescript,0,AppleScript,18,stackexchange
How do I open a Finder sidebar folder via AppleScript,0,AppleScript,18,stackexchange
How can I improve performance when adding InDesign XMLElements via AppleScript,0.18181818181818182,AppleScript,18,stackexchange
Is it possible to programmatically push files to a wireless SD card,0,AppleScript,18,stackexchange
Mac iWorkPages Automation,0,AppleScript,18,stackexchange
Translating Python Regexp to Shell,0,AppleScript,18,stackexchange
How can I AppleScript Terminalapp to copy the current text on the screen,0,AppleScript,18,stackexchange
Applescript Question  Adding Tracks to Playlists,0,AppleScript,18,stackexchange
Applescript multiple monitors and maximum window sizes,0,AppleScript,18,stackexchange
AppleScript to launch a pkg file from another package,0,AppleScript,18,stackexchange
How do I select the next message outside of a selection in Mail using Applescript,0,AppleScript,18,stackexchange
Parsing a set of lines in Applescript,0,AppleScript,18,stackexchange
How to activate bring to front in RubyCocoa,0,AppleScript,18,stackexchange
How do I check if text can be converted to a number in AppleScript,0,AppleScript,18,stackexchange
How does one get the error message from compileAndReturnError,-0.2222222222222222,AppleScript,18,stackexchange
How to check for and remove a photo from an iPhoto album using AppleScript,0,AppleScript,18,stackexchange
Why does NSAppleScript39s compileAndReturnError always succeed,0,AppleScript,18,stackexchange
Measuring bluetooth signal strength via AppleScript on Mac OS X,0.2,AppleScript,18,stackexchange
Emacs talking to XCode,0,AppleScript,18,stackexchange
integrating applescript in cocoa,0,AppleScript,18,stackexchange
Tell AppleScript To Build XCode Project,0,AppleScript,18,stackexchange
How to open an email message using applescript,0,AppleScript,18,stackexchange
AppleScript How can I quit all running user apps and then restart to bootcamp partition this part works,0,AppleScript,18,stackexchange
applescript  quicktime export to image sequence problem,-0.25,AppleScript,18,stackexchange
Applescript Inside of a Cocoa Application,0,AppleScript,18,stackexchange
Add images to window with AppleScript Studio,0,AppleScript,18,stackexchange
AppleScript If a file does not exist,0,AppleScript,18,stackexchange
AppleScript to target frontmost application,0,AppleScript,18,stackexchange
How to build amp run Xcode with Applescript,0,AppleScript,18,stackexchange
AppleScript for unlock screen dialog,0,AppleScript,18,stackexchange
Mac user needs some folder help with applescript SFW,0.2222222222222222,AppleScript,18,stackexchange
Applescript detect new drives,0,AppleScript,18,stackexchange
How to retrieve server path of a selected item in finder,0,AppleScript,18,stackexchange
AppleScript to bath export from QuickTime Can39t get it to export as mov instead of mp4,0,AppleScript,18,stackexchange
syntax error Expected end of line but found unknown token,-0.2,AppleScript,18,stackexchange
How to programatically change slides in a running Keynote presentation,0,AppleScript,18,stackexchange
Applescriptable mySQL client  low cost or free,0.125,AppleScript,18,stackexchange
Applescript path to application using variable,0,AppleScript,18,stackexchange
How to set the tracks of a playlist in iTunes using AppleScript,0,AppleScript,18,stackexchange
Launchd PLIST Not Running,0,AppleScript,18,stackexchange
Apple Event Handler Failure RubyAppScript while trying to growl,-0.2222222222222222,AppleScript,18,stackexchange
Why do AppleScript quottellquot commands run a nonGUI instance of my GUI application in the background,0,AppleScript,18,stackexchange
GUI wrapper for Perl command line app on OSX,0,AppleScript,18,stackexchange
from a CSV of filenames find and open multiple files in a folder or subfolders,0,AppleScript,18,stackexchange
Compiling applescript from a textonly source file,0,AppleScript,18,stackexchange
Running script with admin permissions on OS X,0,AppleScript,18,stackexchange
Snow Leopard Services targeting all files,0,AppleScript,18,stackexchange
Applescript  pygame application bundle,0,AppleScript,18,stackexchange
How do I fix my AppleScript to delete a selection of tracks in iTunes,0,AppleScript,18,stackexchange
In Applescript how can I find out if a menu item is selectedfocused,0,AppleScript,18,stackexchange
How to drive Interface Builder with AppleScript,0,AppleScript,18,stackexchange
List values in AppleScript,0,AppleScript,18,stackexchange
Getting multiple properties at the same time in Appscript,0,AppleScript,18,stackexchange
applescript  shell script problem,-0.4,AppleScript,18,stackexchange
In applescript how can I access the keyboard shortcut of a menu item,0,AppleScript,18,stackexchange
CocoaObjectivec 39system39 acting weird,-0.5,AppleScript,18,stackexchange
How to parse Skype response with AppleScript,0,AppleScript,18,stackexchange
Restrict file types on droplet,-0.4,AppleScript,18,stackexchange
Get the current working directory of process with a pid programmatically on OS X,0,AppleScript,18,stackexchange
Is there a way to hook in to OSX sleepwake events via Applescript,0,AppleScript,18,stackexchange
Why Doesn39t Applescript Exit After Background Shell Job,0,AppleScript,18,stackexchange
Can AppleScript take output of shell script and put in paste buffer,0,AppleScript,18,stackexchange
Hello World Error,-0.6666666666666666,AppleScript,18,stackexchange
Applescript property setter not working correctly  howto,0,AppleScript,18,stackexchange
Avoiding AppleScript through Ruby rbappscript or rubyosa,0,AppleScript,18,stackexchange
AppleScript to take text and turn it into pasteable HTML,0,AppleScript,18,stackexchange
gunzip preform task and rezip,0,Awk,18,stackexchange
How to take screen shot of an email inside quotapple mailquot and quotentouragequot in Mac OS X,0,AppleScript,18,stackexchange
What is applescript and what is it used for,0,AppleScript,18,stackexchange
How do I deal with typing nested message calls in ObjC source from only the keyboard,0,AppleScript,18,stackexchange
Apple script  How is an app registered,0,AppleScript,18,stackexchange
How does one feed a list of files into an app with appscript and Python,0,AppleScript,18,stackexchange
How can I change the main display via AppleScript,0,AppleScript,18,stackexchange
How do you get the playtime of an iTunes track with applescript,0,AppleScript,18,stackexchange
Intercept Copy and Paste with AppleScript,0,AppleScript,18,stackexchange
How do I search iTunes using Applescript,0,AppleScript,18,stackexchange
Accessing a Track Name in iTunes via iTunes39 plist XML File,0,AppleScript,18,stackexchange
How do I check if a key in a record exists,0,AppleScript,18,stackexchange
How to run apple script after completion of previous one,0,AppleScript,18,stackexchange
Access Text Boxes in a Keynote slide in AppleScript,0,AppleScript,18,stackexchange
False Applescript result in Cocoa,0,AppleScript,18,stackexchange
Contextual Menu Item development for OSX Leopard and Snow Leopard,0,AppleScript,18,stackexchange
What applescript will a particular application accept,0.14285714285714285,AppleScript,18,stackexchange
Bash output as Applescript list problems,-0.3333333333333333,AppleScript,18,stackexchange
Creating a new document via AppleScript results in a document with no title,-0.07692307692307693,AppleScript,18,stackexchange
How can I do something later but get the applescript to return now,0,AppleScript,18,stackexchange
make AppleScript program that listens systemwide for shortcuts,0,AppleScript,18,stackexchange
On MAC OS how to get the name of files that has been dropped onto apple script to boot JAR with the name of file as a argument to JAR,0,AppleScript,18,stackexchange
Open a file directly to emacs by doubleclicking,0,AppleScript,18,stackexchange
How do I access hidden files in Finder with Applescript,0,AppleScript,18,stackexchange
AppleScript  How to change the default Printer based on network,0,AppleScript,18,stackexchange
Where39s some good documentation for creating a GCC front end,0.3,BCPL,18,stackexchange
BCPL octal numerical constants,0,BCPL,18,stackexchange
In ObjectiveC ARC what are quotBPTRs declared within extern quotBCPLquot blocksquot,0,BCPL,18,stackexchange
How do I initialize an array of arrays in BCPL,0,BCPL,18,stackexchange
BCPL compilerinterpreter for a current OS and architechture,0,BCPL,18,stackexchange
Using Lisp or AutoLisp how good is the associative lists performance,0.2727272727272727,Autolisp,18,stackexchange
Index thru a list of lists in lisp autolisp actually,0,Autolisp,18,stackexchange
draw a polygon over closed polylines,0,Autolisp,18,stackexchange
Which autolisp  autocad version to use for maximum compatibility with existing deployments,0,Autolisp,18,stackexchange
Circumflex accent before c IN LISP,0,Autolisp,18,stackexchange
A problem of volume calculation with AutoLisp,-0.2857142857142857,Autolisp,18,stackexchange
Search for a line of text as search criteria and replace a certain string of digits in that line,0.05263157894736842,Autolisp,18,stackexchange
How to properly link DCL to AutoLisp,0,Autolisp,18,stackexchange
SOAP request from within an AutoLISPAutoCAD macro,0,Autolisp,18,stackexchange
AutoCAD Lisp  How to get Y drawn vertically,0,Autolisp,18,stackexchange
AutoLISP How to solve no function definition error,-0.25,Autolisp,18,stackexchange
How do you detect if AutoCAD is done plotting in AutoLISP,0,Autolisp,18,stackexchange
Loading and executing a lispfile in autocad using NET,0,Autolisp,18,stackexchange
How does one change the angle of a gradient added by VLAAddHatch in AutoCAD,0,Autolisp,18,stackexchange
Execute multiple commands in LISP sequentially,0,Autolisp,18,stackexchange
Loading and Unloading the arx file with LISP,0,Autolisp,18,stackexchange
Reorder AutoCAD Attributes,0,Autolisp,18,stackexchange
Build automation for AutoCAD Lisp files,0,Autolisp,18,stackexchange
Can anyone explain the design decisions behind Autolispvisual lisp to me,0,Autolisp,18,stackexchange
Dealing with unescaped strings,0,Autolisp,18,stackexchange
AutoLISP drag n drop command,-0.4,Autolisp,18,stackexchange
